task,held_out_subject,model,eval,n_test_trials,acc,f1_macro
phoneme_identity,sub-S01,acoustic_lr,LOSO_NULL,230,1.0,1.0
phoneme_identity,sub-S02,acoustic_lr,LOSO_NULL,372,1.0,1.0
phoneme_identity,sub-S03,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S04,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S05,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S06,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S07,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S08,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S09,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S10,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S11,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S12,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S13,acoustic_lr,LOSO_NULL,325,1.0,1.0
phoneme_identity,sub-S14,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S15,acoustic_lr,LOSO_NULL,380,1.0,1.0
phoneme_identity,sub-S16,acoustic_lr,LOSO_NULL,380,1.0,1.0
place,sub-S01,acoustic_lr,LOSO_NULL,180,1.0,1.0
place,sub-S02,acoustic_lr,LOSO_NULL,272,1.0,1.0
place,sub-S03,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S04,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S05,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S06,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S07,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S08,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S09,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S10,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S11,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S12,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S13,acoustic_lr,LOSO_NULL,250,1.0,1.0
place,sub-S14,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S15,acoustic_lr,LOSO_NULL,280,1.0,1.0
place,sub-S16,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S01,acoustic_lr,LOSO_NULL,180,1.0,1.0
manner,sub-S02,acoustic_lr,LOSO_NULL,272,1.0,1.0
manner,sub-S03,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S04,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S05,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S06,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S07,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S08,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S09,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S10,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S11,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S12,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S13,acoustic_lr,LOSO_NULL,250,1.0,1.0
manner,sub-S14,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S15,acoustic_lr,LOSO_NULL,280,1.0,1.0
manner,sub-S16,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S01,acoustic_lr,LOSO_NULL,180,1.0,1.0
voicing,sub-S02,acoustic_lr,LOSO_NULL,272,1.0,1.0
voicing,sub-S03,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S04,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S05,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S06,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S07,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S08,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S09,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S10,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S11,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S12,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S13,acoustic_lr,LOSO_NULL,250,1.0,1.0
voicing,sub-S14,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S15,acoustic_lr,LOSO_NULL,280,1.0,1.0
voicing,sub-S16,acoustic_lr,LOSO_NULL,280,1.0,1.0
category,sub-S01,acoustic_lr,LOSO_NULL,230,1.0,1.0
category,sub-S02,acoustic_lr,LOSO_NULL,372,1.0,1.0
category,sub-S03,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S04,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S05,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S06,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S07,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S08,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S09,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S10,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S11,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S12,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S13,acoustic_lr,LOSO_NULL,325,1.0,1.0
category,sub-S14,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S15,acoustic_lr,LOSO_NULL,380,1.0,1.0
category,sub-S16,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S01,acoustic_lr,LOSO_NULL,230,1.0,1.0
complexity,sub-S02,acoustic_lr,LOSO_NULL,372,1.0,1.0
complexity,sub-S03,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S04,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S05,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S06,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S07,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S08,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S09,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S10,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S11,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S12,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S13,acoustic_lr,LOSO_NULL,325,1.0,1.0
complexity,sub-S14,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S15,acoustic_lr,LOSO_NULL,380,1.0,1.0
complexity,sub-S16,acoustic_lr,LOSO_NULL,380,1.0,1.0
