feature_type,task,ablation,n_runs,val_acc_mean,val_acc_std,n_fail
dda,manner,no_multiscale,3,0.8522,0.01264555257788286,0
dda,manner,no_se,3,0.8281999999999999,0.0542135591895607,0
dda,manner,no_stochastic_depth,3,0.7898999999999999,0.05823770256457584,0
dda,manner,no_attention_pool,3,0.7226,0.23746416571769308,0
dda,manner,full,3,0.7036000000000001,0.13859549054713144,0
dda,phoneme_identity,no_multiscale,3,0.13723333333333335,0.014557586796352391,0
dda,phoneme_identity,no_stochastic_depth,3,0.1359,0.017765415840897178,0
dda,phoneme_identity,no_attention_pool,3,0.12693333333333334,0.06520063905617285,0
dda,phoneme_identity,full,3,0.12506666666666666,0.01954592881736075,0
dda,phoneme_identity,no_se,3,0.12253333333333334,0.044531486987673494,0
dda,place,no_attention_pool,3,0.5716333333333333,0.0026558112382722345,0
dda,place,full,3,0.5712,0.0010392304845413482,0
dda,place,no_stochastic_depth,3,0.57,0.001039230484541324,0
dda,place,no_multiscale,3,0.5631666666666667,0.009764391088712776,0
dda,place,no_se,3,0.5292666666666667,0.05309993722532386,0
erp,manner,no_attention_pool,3,0.8223333333333334,0.06052704629612568,0
erp,manner,no_stochastic_depth,3,0.7865666666666667,0.03554804260902892,0
erp,manner,full,3,0.7743666666666668,0.06253273809240512,0
erp,manner,no_multiscale,3,0.7574666666666667,0.14260127395410377,0
erp,manner,no_se,3,0.7051,0.021327681543008892,0
erp,phoneme_identity,no_attention_pool,3,0.1503,0.01585212919452777,0
erp,phoneme_identity,no_stochastic_depth,3,0.13970000000000002,0.00470000000000001,0
erp,phoneme_identity,full,3,0.1315333333333333,0.02274738080160732,0
erp,phoneme_identity,no_se,3,0.1273,0.03229163978493505,0
erp,phoneme_identity,no_multiscale,3,0.1236,0.014652303573158729,0
erp,place,no_multiscale,3,0.5630666666666667,0.015834877117721306,0
erp,place,no_se,3,0.5619999999999999,0.0050109879265470385,0
erp,place,no_attention_pool,3,0.5553333333333333,0.02557661692510041,0
erp,place,full,3,0.5511333333333334,0.021040991738350508,0
erp,place,no_stochastic_depth,3,0.5176333333333334,0.053635933228884304,0
