feature_type,task,model,eval,n_folds,acc_mean,acc_ci95_low,acc_ci95_high,f1_mean,f1_ci95_low,f1_ci95_high,domain
dda,category,lr_mean_std,LOSO_NULL,16,0.6564533577781436,0.6094377829654782,0.7010986667026288,0.581616758169893,0.5444498677575409,0.6180673543110881,eeg
dda,complexity,lr_mean_std,LOSO_NULL,16,0.5976063782216897,0.5171898759873036,0.6721073424573138,0.4910690131418304,0.41068327775728813,0.5694114495296846,eeg
dda,manner,lr_mean_std,LOSO_NULL,16,0.7083472514005602,0.6363186799719889,0.7661061143207283,0.5712893604794353,0.5260911651063368,0.6070656593190737,eeg
dda,phoneme_identity,lr_mean_std,LOSO_NULL,16,0.12850417847266782,0.1140534343397062,0.14368043982204406,0.09414920207135535,0.08076864005210772,0.10596626016934796,eeg
dda,place,lr_mean_std,LOSO_NULL,16,0.5220552637721756,0.5053286399976658,0.5389190519957983,0.49258965551129685,0.46897766534286944,0.5157481161925315,eeg
dda,voicing,lr_mean_std,LOSO_NULL,16,0.48246527777777776,0.4555555555555556,0.5109375,0.44291262866732095,0.4105734665773794,0.4734685155389449,eeg
erp,category,lr_mean_std,LOSO_NULL,16,0.5522217379947874,0.48482187246253783,0.616641622683989,0.47185923240304517,0.422950900015221,0.5183310086445563,eeg
erp,complexity,lr_mean_std,LOSO_NULL,16,0.4085819135374849,0.3356479467317488,0.4774412354814576,0.3210403056781975,0.2609589838793487,0.3800063845977606,eeg
erp,manner,lr_mean_std,LOSO_NULL,16,0.6330859302054155,0.5672270264355743,0.6945621972747431,0.5026946473924464,0.45946576071283196,0.5379953396009273,eeg
erp,phoneme_identity,lr_mean_std,LOSO_NULL,16,0.10439486554881107,0.0875026624425315,0.12208233709847766,0.0739979545030495,0.060389766781173276,0.08853137128487314,eeg
erp,place,lr_mean_std,LOSO_NULL,16,0.5180887896825397,0.4963277157738095,0.5382277777777779,0.4621253547290253,0.429730445503997,0.4914037107763172,eeg
erp,voicing,lr_mean_std,LOSO_NULL,16,0.5035590277777777,0.4762152777777778,0.5324652777777777,0.42985313985301543,0.4044980317330514,0.45705203304414405,eeg
,category,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
,complexity,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
,manner,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
,phoneme_identity,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
,place,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
,voicing,acoustic_lr,LOSO_NULL,16,1.0,1.0,1.0,1.0,1.0,1.0,acoustic
