feature_type,task,model,eval,n_test_trials,acc,f1_macro
erp,phoneme_identity,lr_mean_std,SPLIT_8_8_NULL,2985,0.08174204355108877,0.0738262604764099
erp,place,lr_mean_std,SPLIT_8_8_NULL,2210,0.5212669683257919,0.4847958159298213
erp,manner,lr_mean_std,SPLIT_8_8_NULL,2210,0.4764705882352941,0.42400349972100904
erp,voicing,lr_mean_std,SPLIT_8_8_NULL,640,0.5015625,0.5002337758346777
erp,category,lr_mean_std,SPLIT_8_8_NULL,2985,0.5252931323283082,0.5008929598654808
erp,complexity,lr_mean_std,SPLIT_8_8_NULL,2985,0.4358458961474037,0.33000853697046856
dda,phoneme_identity,lr_mean_std,SPLIT_8_8_NULL,2985,0.12864321608040202,0.10329032776641824
dda,place,lr_mean_std,SPLIT_8_8_NULL,2210,0.49411764705882355,0.4939170417052766
dda,manner,lr_mean_std,SPLIT_8_8_NULL,2210,0.746606334841629,0.5213941753640204
dda,voicing,lr_mean_std,SPLIT_8_8_NULL,640,0.4828125,0.4759950627178304
dda,category,lr_mean_std,SPLIT_8_8_NULL,2985,0.644891122278057,0.5828710432007492
dda,complexity,lr_mean_std,SPLIT_8_8_NULL,2985,0.6,0.5490446140130999
