feature_type,word_type,subject,accuracy,n_trials
erp,real,sub-S01,0.15,20
erp,real,sub-S02,0.1667,36
erp,real,sub-S03,0.125,40
erp,real,sub-S04,0.15,40
erp,real,sub-S05,0.2,40
erp,real,sub-S06,0.2,40
erp,real,sub-S07,0.275,40
erp,real,sub-S08,0.2,40
erp,real,sub-S09,0.225,40
erp,real,sub-S10,0.175,40
erp,real,sub-S11,0.125,40
erp,real,sub-S12,0.15,40
erp,real,sub-S13,0.175,40
erp,real,sub-S14,0.275,40
erp,real,sub-S15,0.25,40
erp,real,sub-S16,0.2,40
erp,pseudo,sub-S01,0.2,20
erp,pseudo,sub-S02,0.25,36
erp,pseudo,sub-S03,0.275,40
erp,pseudo,sub-S04,0.25,40
erp,pseudo,sub-S05,0.225,40
erp,pseudo,sub-S06,0.2,40
erp,pseudo,sub-S07,0.125,40
erp,pseudo,sub-S08,0.275,40
erp,pseudo,sub-S09,0.2,40
erp,pseudo,sub-S10,0.3,40
erp,pseudo,sub-S11,0.3,40
erp,pseudo,sub-S12,0.275,40
erp,pseudo,sub-S13,0.125,40
erp,pseudo,sub-S14,0.15,40
erp,pseudo,sub-S15,0.25,40
erp,pseudo,sub-S16,0.325,40
dda,real,sub-S01,0.05,20
dda,real,sub-S02,0.0833,36
dda,real,sub-S03,0.05,40
dda,real,sub-S04,0.0,40
dda,real,sub-S05,0.25,40
dda,real,sub-S06,0.375,40
dda,real,sub-S07,0.0,40
dda,real,sub-S08,0.025,40
dda,real,sub-S09,0.125,40
dda,real,sub-S10,0.025,40
dda,real,sub-S11,0.0,40
dda,real,sub-S12,0.15,40
dda,real,sub-S13,0.075,40
dda,real,sub-S14,0.025,40
dda,real,sub-S15,0.025,40
dda,real,sub-S16,0.0,40
dda,pseudo,sub-S01,0.05,20
dda,pseudo,sub-S02,0.0556,36
dda,pseudo,sub-S03,0.15,40
dda,pseudo,sub-S04,0.05,40
dda,pseudo,sub-S05,0.15,40
dda,pseudo,sub-S06,0.2,40
dda,pseudo,sub-S07,0.05,40
dda,pseudo,sub-S08,0.05,40
dda,pseudo,sub-S09,0.05,40
dda,pseudo,sub-S10,0.075,40
dda,pseudo,sub-S11,0.05,40
dda,pseudo,sub-S12,0.075,40
dda,pseudo,sub-S13,0.075,40
dda,pseudo,sub-S14,0.05,40
dda,pseudo,sub-S15,0.05,40
dda,pseudo,sub-S16,0.025,40
