model,feature_type,word_type,wer_mean,ci95_low,ci95_high,n_subjects
chance,erp,cvc_real_words,0.9090909090909092,,,3
lr_mean_std,erp,cvc_real_words,0.925,0.875,0.9499999999999998,3
lda_mean_std,erp,cvc_real_words,0.8166666666666668,0.725,0.9,3
eegnet,erp,cvc_real_words,0.6750000000000002,0.6750000000000002,0.6750000000000002,3
shallowconvnet,erp,cvc_real_words,0.7416666666666666,0.6999999999999998,0.8249999999999998,3
cipher,erp,cvc_real_words,0.7833333333333333,0.725,0.85,3
chance,erp,cvc_pseudowords,0.9090909090909092,,,3
lr_mean_std,erp,cvc_pseudowords,0.9333333333333332,0.85,1.0,3
lda_mean_std,erp,cvc_pseudowords,0.8333333333333334,0.775,0.9499999999999998,3
eegnet,erp,cvc_pseudowords,0.8333333333333334,0.8000000000000002,0.85,3
shallowconvnet,erp,cvc_pseudowords,0.7666666666666666,0.75,0.775,3
cipher,erp,cvc_pseudowords,0.7999999999999999,0.75,0.85,3
chance,dda,cvc_real_words,0.9090909090909092,,,3
lr_mean_std,dda,cvc_real_words,0.8583333333333333,0.775,0.975,3
lda_mean_std,dda,cvc_real_words,0.7999999999999999,0.75,0.9,3
eegnet,dda,cvc_real_words,0.65,0.575,0.725,3
shallowconvnet,dda,cvc_real_words,0.7083333333333334,0.575,0.8000000000000002,3
cipher,dda,cvc_real_words,0.6166666666666667,0.6,0.65,3
chance,dda,cvc_pseudowords,0.9090909090909092,,,3
lr_mean_std,dda,cvc_pseudowords,0.85,0.75,0.975,3
lda_mean_std,dda,cvc_pseudowords,0.8250000000000001,0.725,0.9,3
eegnet,dda,cvc_pseudowords,0.7666666666666666,0.725,0.8000000000000002,3
shallowconvnet,dda,cvc_pseudowords,0.725,0.65,0.8000000000000002,3
cipher,dda,cvc_pseudowords,0.8000000000000002,0.8000000000000002,0.8000000000000002,3
