task,held_out_subject,eval,acc_base,acc_mask0_200,f1_base,f1_mask0_200
phoneme_identity,sub-S01,LOSO_NULL,0.13478260869565217,0.12608695652173912,0.09716234477686919,0.08167604187456184
phoneme_identity,sub-S02,LOSO_NULL,0.09946236559139784,0.06989247311827956,0.056369574437065785,0.04951286310522469
phoneme_identity,sub-S03,LOSO_NULL,0.05526315789473684,0.05263157894736842,0.04039186625956113,0.04622340216828511
phoneme_identity,sub-S04,LOSO_NULL,0.09473684210526316,0.11315789473684211,0.09243374751482393,0.10349708693622257
phoneme_identity,sub-S05,LOSO_NULL,0.11842105263157894,0.12368421052631579,0.09938467049905995,0.10528540625446657
phoneme_identity,sub-S06,LOSO_NULL,0.12894736842105264,0.14736842105263157,0.09807538648568244,0.12377915972976655
phoneme_identity,sub-S07,LOSO_NULL,0.16842105263157894,0.2,0.15062736703128635,0.17525705811575104
phoneme_identity,sub-S08,LOSO_NULL,0.11578947368421053,0.10263157894736842,0.0841400650977892,0.08142694575489227
phoneme_identity,sub-S09,LOSO_NULL,0.09210526315789473,0.08947368421052632,0.08651754568885973,0.08517056273305101
phoneme_identity,sub-S10,LOSO_NULL,0.1394736842105263,0.14210526315789473,0.07269704760585241,0.07263419369806935
phoneme_identity,sub-S11,LOSO_NULL,0.1631578947368421,0.15,0.046050519316923874,0.042458775792109126
phoneme_identity,sub-S12,LOSO_NULL,0.10526315789473684,0.08947368421052632,0.07537894081851836,0.06644895466881447
phoneme_identity,sub-S13,LOSO_NULL,0.04923076923076923,0.05846153846153846,0.033119283302214614,0.038154370659181064
phoneme_identity,sub-S14,LOSO_NULL,0.05789473684210526,0.06315789473684211,0.028230602143645624,0.02982654121890677
phoneme_identity,sub-S15,LOSO_NULL,0.07105263157894737,0.05789473684210526,0.0625193002722224,0.046914213100240916
phoneme_identity,sub-S16,LOSO_NULL,0.07631578947368421,0.07894736842105263,0.06086901079841702,0.07967680759989962
manner,sub-S01,LOSO_NULL,0.7555555555555555,0.7666666666666667,0.4890322580645161,0.542483660130719
manner,sub-S02,LOSO_NULL,0.7536764705882353,0.5882352941176471,0.541638371186398,0.48453468697123525
manner,sub-S03,LOSO_NULL,0.5178571428571429,0.5357142857142857,0.48472580051527425,0.49665357597212234
manner,sub-S04,LOSO_NULL,0.6035714285714285,0.5,0.5442748427396296,0.46245406176293125
manner,sub-S05,LOSO_NULL,0.7357142857142858,0.7821428571428571,0.5694455988695869,0.5849432577580131
manner,sub-S06,LOSO_NULL,0.8214285714285714,0.8142857142857143,0.6015482695810566,0.5951507062618174
manner,sub-S07,LOSO_NULL,0.7214285714285714,0.7857142857142857,0.5324942203955818,0.5798319327731092
manner,sub-S08,LOSO_NULL,0.6821428571428572,0.5,0.5517904998291336,0.46245406176293125
manner,sub-S09,LOSO_NULL,0.5035714285714286,0.4928571428571429,0.46295759683183624,0.4525225820665345
manner,sub-S10,LOSO_NULL,0.625,0.6678571428571428,0.5114250103863731,0.5366465595473229
manner,sub-S11,LOSO_NULL,0.7071428571428572,0.625,0.5008695652173913,0.4875816993464052
manner,sub-S12,LOSO_NULL,0.5285714285714286,0.575,0.47690217391304346,0.49909048542521683
manner,sub-S13,LOSO_NULL,0.488,0.48,0.4117647058823529,0.4025735294117647
manner,sub-S14,LOSO_NULL,0.5928571428571429,0.5857142857142857,0.45188543169173706,0.45279331491340385
manner,sub-S15,LOSO_NULL,0.3,0.25,0.2769433465085639,0.24242424242424243
manner,sub-S16,LOSO_NULL,0.7928571428571428,0.7785714285714286,0.6354166666666666,0.616573902288188
place,sub-S01,LOSO_NULL,0.5277777777777778,0.5055555555555555,0.5151937640609652,0.49583005507474426
place,sub-S02,LOSO_NULL,0.5625,0.5404411764705882,0.4355370315470066,0.40707671380988086
place,sub-S03,LOSO_NULL,0.5821428571428572,0.5571428571428572,0.5277837837837838,0.44014447884416924
place,sub-S04,LOSO_NULL,0.525,0.525,0.5183091668714672,0.5145922131414643
place,sub-S05,LOSO_NULL,0.475,0.475,0.4584139264990329,0.45230269723623107
place,sub-S06,LOSO_NULL,0.46785714285714286,0.46785714285714286,0.4165932513878984,0.4290484597172613
place,sub-S07,LOSO_NULL,0.4785714285714286,0.5035714285714286,0.4707679560872042,0.4926941174937108
place,sub-S08,LOSO_NULL,0.4928571428571429,0.48928571428571427,0.4775021026072329,0.47315096251266464
place,sub-S09,LOSO_NULL,0.5071428571428571,0.5,0.45580530674328207,0.45054945054945056
place,sub-S10,LOSO_NULL,0.5607142857142857,0.5642857142857143,0.3805643986402633,0.3822337962962963
place,sub-S11,LOSO_NULL,0.5571428571428572,0.5571428571428572,0.532730404823428,0.531089622386689
place,sub-S12,LOSO_NULL,0.5535714285714286,0.525,0.5382524835419993,0.5013323692068721
place,sub-S13,LOSO_NULL,0.492,0.484,0.44743208200630014,0.4234791469279036
place,sub-S14,LOSO_NULL,0.43214285714285716,0.42857142857142855,0.3069630598234717,0.3
place,sub-S15,LOSO_NULL,0.5714285714285714,0.575,0.41139373554761405,0.40710688802291856
place,sub-S16,LOSO_NULL,0.5035714285714286,0.5107142857142857,0.5007632216934542,0.48284462419952817
