feature_type,tms_condition,phoneme,place,accuracy,n_trials
erp,null,b,bilabial,0.0,994
erp,null,z,alveolar,0.2623,305
erp,null,d,alveolar,0.4073,933
erp,null,p,bilabial,0.0,872
erp,null,s,alveolar,0.0984,305
erp,null,t,alveolar,0.3376,933
erp,lip,b,bilabial,0.0,320
erp,lip,d,alveolar,0.0031,320
erp,lip,p,bilabial,0.9938,320
erp,lip,t,alveolar,0.0,320
erp,tongue,b,bilabial,0.325,320
erp,tongue,d,alveolar,0.275,320
erp,tongue,p,bilabial,0.3781,320
erp,tongue,t,alveolar,0.9031,320
dda,null,b,bilabial,0.1207,994
dda,null,z,alveolar,0.8393,305
dda,null,d,alveolar,0.1683,933
dda,null,p,bilabial,0.0011,872
dda,null,s,alveolar,0.0426,305
dda,null,t,alveolar,0.015,933
dda,lip,b,bilabial,0.4219,320
dda,lip,d,alveolar,0.4531,320
dda,lip,p,bilabial,0.3906,320
dda,lip,t,alveolar,0.4906,320
dda,tongue,b,bilabial,0.6188,320
dda,tongue,d,alveolar,0.2562,320
dda,tongue,p,bilabial,0.3594,320
dda,tongue,t,alveolar,0.0875,320
